city,year,total_submissions,total_comments,total_observations
Atlanta,2008,2,4,6
Atlanta,2009,183,568,751
Atlanta,2010,1105,12196,13301
Atlanta,2011,4743,62209,66952
Atlanta,2012,7486,104555,112041
Atlanta,2013,9690,120017,129707
Atlanta,2014,13446,180515,193961
Atlanta,2015,17062,291600,308662
Atlanta,2016,16629,305639,322268
Atlanta,2017,20297,372731,393028
Atlanta,2018,19906,373565,393471
Atlanta,2019,19955,335015,354970
Atlanta,2020,20333,361220,381553
Atlanta,2021,18214,205774,223988
Atlanta,2022,17468,177615,195083
Atlanta,2023,16282,138160,154442
Atlanta,2024,17783,114365,132148
Austin,2008,39,65,104
Austin,2009,400,2738,3138
Austin,2010,2615,28629,31244
Austin,2011,9173,99694,108867
Austin,2012,12717,152226,164943
Austin,2013,16169,231729,247898
Austin,2014,18224,297892,316116
Austin,2015,20735,375162,395897
Austin,2016,21593,449397,470990
Austin,2017,22355,470149,492504
Austin,2018,26703,532696,559399
Austin,2019,31045,576539,607584
Austin,2020,45946,921055,967001
Austin,2021,48759,1022434,1071193
Austin,2022,51133,1167698,1218831
Austin,2023,53628,1138073,1191701
Austin,2024,58148,1097594,1155742
Boston,2008,35,47,82
Boston,2009,295,2108,2403
Boston,2010,2317,23550,25867
Boston,2011,8076,83690,91766
Boston,2012,11791,132338,144129
Boston,2013,23469,274916,298385
Boston,2014,22034,393648,415682
Boston,2015,27541,539777,567318
Boston,2016,30410,720426,750836
Boston,2017,50427,1262289,1312716
Boston,2018,44897,1221546,1266443
Boston,2019,51137,1384605,1435742
Boston,2020,45589,1243597,1289186
Boston,2021,48188,1684999,1733187
Boston,2022,58935,2083577,2142512
Boston,2023,54413,1966498,2020911
Boston,2024,55542,1956777,2012319
Chicago,2008,74,171,245
Chicago,2009,624,3930,4554
Chicago,2010,2829,31447,34276
Chicago,2011,11227,126879,138106
Chicago,2012,15685,169620,185305
Chicago,2013,20102,218897,238999
Chicago,2014,20818,283598,304416
Chicago,2015,22812,369863,392675
Chicago,2016,21923,362374,384297
Chicago,2017,20348,354370,374718
Chicago,2018,22439,421927,444366
Chicago,2019,26413,503996,530409
Chicago,2020,27231,722001,749232
Chicago,2021,26521,665366,691887
Chicago,2022,34576,850065,884641
Chicago,2023,37565,1035037,1072602
Chicago,2024,56102,1110238,1166340
Houston,2008,1,0,1
Houston,2009,58,402,460
Houston,2010,1022,12067,13089
Houston,2011,3723,46903,50626
Houston,2012,6814,98959,105773
Houston,2013,10012,135128,145140
Houston,2014,12899,178510,191409
Houston,2015,19300,311032,330332
