city,state,year,median_age,sex_ratio,average_years_schooling,income,unemployment rate
Phoenix city,Arizona,2018,33.5,98.7,13.2,57957,4.8
Tucson city,Arizona,2018,33.5,96.7,13.37,43676,5.7
Los Angeles city,California,2018,35.8,100.0,12.95,62474,6.0
Sacramento city,California,2018,34.3,94.8,13.46,65046,6.5
San Diego city,California,2018,35.4,102.0,14.22,79646,5.3
San Francisco city,California,2018,38.3,104.3,14.61,112376,3.7
Boulder city,Colorado,2018,29.3,100.3,15.76,62207,3.5
Denver city,Colorado,2018,34.6,100.3,14.5,68377,3.6
Washington city,District of Columbia,2018,33.9,90.8,15.15,85203,7.5
Jacksonville city,Florida,2018,36.0,93.2,13.56,54269,5.8
Miami city,Florida,2018,40.5,98.6,13.01,41818,4.3
Orlando city,Florida,2018,33.9,86.3,14.0,51820,4.7
Tampa city,Florida,2018,34.6,96.2,14.08,54599,5.7
Atlanta city,Georgia,2018,33.2,97.1,14.87,65345,5.7
Chicago city,Illinois,2018,34.9,95.2,13.79,57238,8.1
Indianapolis city (balance),Indiana,2018,34.3,92.6,13.48,47678,5.9
Des Moines city,Iowa,2018,33.7,94.8,13.1,53336,5.2
New Orleans city,Louisiana,2018,37.3,90.0,13.98,38423,7.9
Baltimore city,Maryland,2018,35.5,88.4,13.79,51000,6.8
Boston city,Massachusetts,2018,32.1,92.2,14.23,71834,6.9
Kansas City city,Missouri,2018,35.2,95.6,13.9,54372,4.7
St. Louis city,Missouri,2018,36.4,94.2,13.85,43889,6.2
Las Vegas city,Nevada,2018,38.1,99.5,13.07,53575,6.2
Albuquerque city,New Mexico,2018,37.2,95.4,13.97,51099,5.7
Albany city,New York,2018,33.2,93.4,14.05,44066,6.9
Buffalo city,New York,2018,33.3,92.9,13.46,37359,6.0
New York city,New York,2018,36.9,91.1,13.49,63799,5.7
Rochester city,New York,2018,32.1,92.6,13.01,35403,10.1
Charlotte city,North Carolina,2018,34.7,93.5,14.17,60764,4.2
Durham city,North Carolina,2018,34.1,89.9,14.77,54840,3.3
Raleigh city,North Carolina,2018,34.1,94.6,14.6,65695,3.3
Cincinnati city,Ohio,2018,33.0,94.2,13.97,43585,6.2
Cleveland city,Ohio,2018,36.3,96.5,12.85,29953,11.7
Columbus city,Ohio,2018,32.3,95.3,13.77,52971,5.0
Tulsa city,Oklahoma,2018,35.4,93.9,13.52,47583,5.0
Portland city,Oregon,2018,37.6,97.9,14.63,73097,4.0
Philadelphia city,Pennsylvania,2018,34.5,89.9,13.45,46116,8.2
Charleston city,South Carolina,2018,35.1,85.7,14.72,70319,3.2
Chattanooga city,Tennessee,2018,37.6,88.0,13.62,46730,7.3
Memphis city,Tennessee,2018,34.3,87.9,13.22,37199,9.6
Nashville-Davidson metropolitan government (balance),Tennessee,2018,34.4,93.1,14.09,60324,3.5
Austin city,Texas,2018,33.6,101.7,14.72,71543,3.8
Dallas city,Texas,2018,33.3,99.2,13.13,52210,4.3
Fort Worth city,Texas,2018,33.2,96.8,13.1,58448,6.1
Houston city,Texas,2018,33.1,98.5,12.93,51203,5.3
San Antonio city,Texas,2018,33.7,98.6,12.99,49024,5.9
Salt Lake City city,Utah,2018,32.2,104.9,14.5,61625,2.9
Richmond city,Virginia,2018,34.0,89.0,13.91,48987,4.4
Seattle city,Washington,2018,35.2,104.1,15.36,93481,3.8
Madison city,Wisconsin,2018,30.5,97.4,14.95,64101,1.9
Milwaukee city,Wisconsin,2018,31.5,94.3,13.11,42087,5.3
Phoenix city,Arizona,2019,34.4,99.6,13.2,60931,4.4
Tucson city,Arizona,2019,34.5,100.3,13.37,44365,6.3
Los Angeles city,California,2019,35.9,97.9,12.95,67418,5.3
Sacramento city,California,2019,34.8,98.3,13.46,69134,5.6
San Diego city,California,2019,35.4,101.6,14.22,85507,5.0
San Francisco city,California,2019,38.2,103.1,14.61,123859,3.7
Boulder city,Colorado,2019,28.9,111.2,15.76,74900,5.6
Denver city,Colorado,2019,34.7,100.6,14.5,75646,3.0
Washington city,District of Columbia,2019,34.3,90.0,15.15,92266,6.3
Jacksonville city,Florida,2019,36.1,93.4,13.56,56975,4.8
Miami city,Florida,2019,40.7,98.1,13.01,42966,3.4
Orlando city,Florida,2019,34.6,91.7,14.0,58819,3.5
Tampa city,Florida,2019,36.0,97.5,14.08,57709,4.0
Atlanta city,Georgia,2019,33.3,91.6,14.87,66657,5.0
Chicago city,Illinois,2019,35.2,94.9,13.79,61811,6.3
Indianapolis city (balance),Indiana,2019,34.3,93.6,13.48,49661,5.6
Des Moines city,Iowa,2019,35.2,95.9,13.1,53859,6.3
New Orleans city,Louisiana,2019,38.3,89.4,13.98,45615,7.8
Baltimore city,Maryland,2019,35.9,88.2,13.79,50177,7.3
Boston city,Massachusetts,2019,32.6,91.7,14.23,79018,4.4
Kansas City city,Missouri,2019,35.3,92.6,13.9,55259,3.8
St. Louis city,Missouri,2019,36.4,93.5,13.85,47176,5.2
Las Vegas city,Nevada,2019,36.8,102.4,13.07,58713,5.9
Albuquerque city,New Mexico,2019,37.3,93.1,13.97,55567,5.1
Albany city,New York,2019,30.6,81.5,14.05,49096,5.6
Buffalo city,New York,2019,32.7,91.0,13.46,40843,5.6
New York city,New York,2019,37.2,91.3,13.49,69407,5.2
Rochester city,New York,2019,33.3,98.3,13.01,37711,6.0
Charlotte city,North Carolina,2019,34.2,92.0,14.17,63483,3.6
Durham city,North Carolina,2019,34.5,91.6,14.77,65534,3.3
Raleigh city,North Carolina,2019,34.5,93.2,14.6,69333,4.4
Cincinnati city,Ohio,2019,32.5,96.0,13.97,46260,6.9
Cleveland city,Ohio,2019,35.5,92.5,12.85,32053,11.1
Columbus city,Ohio,2019,32.4,96.0,13.77,57118,4.6
Tulsa city,Oklahoma,2019,35.5,94.2,13.52,49158,5.5
Portland city,Oregon,2019,37.5,99.0,14.63,76231,3.8
Philadelphia city,Pennsylvania,2019,34.7,89.8,13.45,47474,8.2
Charleston city,South Carolina,2019,34.0,88.1,14.72,79359,2.7
Chattanooga city,Tennessee,2019,37.6,89.5,13.62,46533,6.2
Memphis city,Tennessee,2019,34.6,90.4,13.22,43794,7.5
Nashville-Davidson metropolitan government (balance),Tennessee,2019,34.4,93.5,14.09,63462,3.9
Austin city,Texas,2019,33.9,102.6,14.72,75413,3.4
Dallas city,Texas,2019,32.9,96.6,13.13,55332,4.6
Fort Worth city,Texas,2019,32.8,94.7,13.1,65356,4.8
Houston city,Texas,2019,33.4,99.9,12.93,52450,5.4
San Antonio city,Texas,2019,34.4,97.1,12.99,53751,4.8
Salt Lake City city,Utah,2019,32.9,104.7,14.5,63971,3.0
Richmond city,Virginia,2019,34.2,91.4,13.91,51285,5.6
Seattle city,Washington,2019,34.7,104.9,15.36,102486,3.6
Madison city,Wisconsin,2019,31.7,97.2,14.95,66847,2.2
Milwaukee city,Wisconsin,2019,31.5,93.3,13.11,44192,5.3
Phoenix city,Arizona,2021,34.5,101.6,13.2,68435,5.9
Tucson city,Arizona,2021,33.6,100.3,13.37,50306,6.9
Los Angeles city,California,2021,37.0,99.6,12.95,70372,10.7
Sacramento city,California,2021,36.3,96.2,13.46,75311,7.5
San Diego city,California,2021,35.9,105.0,14.22,93042,8.2
San Francisco city,California,2021,40.4,104.9,14.61,121826,8.4
Boulder city,Colorado,2021,29.2,100.8,15.76,84167,5.5
Denver city,Colorado,2021,35.1,101.4,14.5,81630,6.2
Washington city,District of Columbia,2021,34.8,90.9,15.15,90088,8.2
Jacksonville city,Florida,2021,36.6,94.7,13.56,58621,4.7
Miami city,Florida,2021,40.4,102.9,13.01,48789,5.9
Orlando city,Florida,2021,35.7,94.0,14.0,54167,7.8
Tampa city,Florida,2021,35.8,96.5,14.08,63404,5.3
Atlanta city,Georgia,2021,34.3,96.5,14.87,74107,5.2
Chicago city,Illinois,2021,35.8,94.4,13.79,66576,10.1
Indianapolis city (balance),Indiana,2021,34.5,95.3,13.48,58479,6.0
Des Moines city,Iowa,2021,35.1,98.2,13.1,60693,5.3
New Orleans city,Louisiana,2021,38.3,89.8,13.98,46942,9.4
Baltimore city,Maryland,2021,36.1,88.4,13.79,54652,7.9
Boston city,Massachusetts,2021,33.0,92.9,14.23,79283,8.0
Kansas City city,Missouri,2021,35.1,90.7,13.9,63396,6.2
St. Louis city,Missouri,2021,36.8,95.2,13.85,49965,6.3
Las Vegas city,Nevada,2021,39.6,101.5,13.07,59746,10.9
Albuquerque city,New Mexico,2021,38.9,97.9,13.97,58512,6.1
Albany city,New York,2021,33.4,93.0,14.05,49763,9.9
Buffalo city,New York,2021,34.5,91.9,13.46,40669,10.2
New York city,New York,2021,38.1,92.4,13.49,67997,11.8
Rochester city,New York,2021,34.6,91.3,13.01,41980,11.0
Charlotte city,North Carolina,2021,34.8,93.0,14.17,70869,5.0
Durham city,North Carolina,2021,35.3,87.9,14.77,71343,5.2
Raleigh city,North Carolina,2021,35.0,94.1,14.6,74612,5.5
Cincinnati city,Ohio,2021,32.5,90.1,13.97,42733,7.6
Cleveland city,Ohio,2021,36.3,94.3,12.85,35562,12.3
Columbus city,Ohio,2021,33.1,97.2,13.77,58202,6.2
Tulsa city,Oklahoma,2021,35.9,96.7,13.52,51008,7.1
Portland city,Oregon,2021,38.3,98.6,14.63,79057,7.1
Philadelphia city,Pennsylvania,2021,35.2,90.7,13.45,52899,10.5
Charleston city,South Carolina,2021,35.7,92.9,14.72,74139,4.2
Chattanooga city,Tennessee,2021,37.0,91.2,13.62,55065,6.0
Memphis city,Tennessee,2021,34.3,89.3,13.22,44317,9.8
Nashville-Davidson metropolitan government (balance),Tennessee,2021,34.9,93.0,14.09,64857,4.3
Austin city,Texas,2021,34.4,103.6,14.72,79542,5.3
Dallas city,Texas,2021,33.7,102.0,13.13,57995,6.0
Fort Worth city,Texas,2021,32.9,91.7,13.1,68235,5.1
Houston city,Texas,2021,34.8,96.8,12.93,55499,8.4
San Antonio city,Texas,2021,34.1,97.1,12.99,54923,7.2
Salt Lake City city,Utah,2021,32.5,102.3,14.5,66658,3.9
Richmond city,Virginia,2021,34.8,88.7,13.91,51770,7.4
Seattle city,Washington,2021,35.5,102.6,15.36,110781,5.3
Madison city,Wisconsin,2021,32.3,97.9,14.95,67270,3.2
Milwaukee city,Wisconsin,2021,32.3,93.5,13.11,46637,7.0
Phoenix city,Arizona,2022,35.1,100.3,13.2,75969,4.3
Tucson city,Arizona,2022,33.8,99.4,13.46,51281,5.8
Los Angeles city,California,2022,37.1,100.8,13.05,76135,6.7
Sacramento city,California,2022,36.0,96.8,13.57,80254,5.0
San Diego city,California,2022,36.2,103.9,14.39,100010,4.8
San Francisco city,California,2022,40.4,105.3,14.63,136692,3.7
Boulder city,Colorado,2022,28.7,105.8,16.05,81608,3.4
Denver city,Colorado,2022,35.1,102.2,14.58,88213,3.7
Washington city,District of Columbia,2022,34.9,90.8,15.34,101027,5.1
Jacksonville city,Florida,2022,36.5,94.5,13.63,69309,4.2
Miami city,Florida,2022,40.0,107.2,13.19,60989,4.0
Orlando city,Florida,2022,36.0,100.8,14.06,65354,4.1
Tampa city,Florida,2022,35.3,102.5,14.1,71089,4.3
Atlanta city,Georgia,2022,34.0,98.9,14.95,83251,4.8
Chicago city,Illinois,2022,35.8,94.5,13.77,70386,6.4
Indianapolis city (balance),Indiana,2022,34.3,96.0,13.55,61501,4.9
Des Moines city,Iowa,2022,35.0,99.0,13.13,58018,4.8
New Orleans city,Louisiana,2022,38.8,89.2,14.09,52322,6.8
Baltimore city,Maryland,2022,36.5,87.0,13.57,55198,5.5
Boston city,Massachusetts,2022,33.3,94.1,14.36,86331,5.2
Kansas City city,Missouri,2022,36.0,93.5,13.86,62175,3.5
St. Louis city,Missouri,2022,36.8,95.4,14.07,52847,4.4
Las Vegas city,Nevada,2022,38.6,99.5,13.06,68905,5.4
Albuquerque city,New Mexico,2022,38.4,96.4,14.01,64757,4.2
Albany city,New York,2022,31.7,104.4,13.83,51386,9.3
Buffalo city,New York,2022,34.8,92.8,13.43,48904,4.3
New York city,New York,2022,38.4,92.6,13.48,74694,6.4
Rochester city,New York,2022,34.3,92.8,13.18,43631,7.2
Charlotte city,North Carolina,2022,34.5,93.8,14.19,74401,3.3
Durham city,North Carolina,2022,35.0,87.4,14.65,78105,2.9
Raleigh city,North Carolina,2022,34.6,97.3,14.53,75424,3.2
Cincinnati city,Ohio,2022,33.5,87.9,13.96,48130,5.3
Cleveland city,Ohio,2022,36.8,96.0,12.92,37351,8.9
Columbus city,Ohio,2022,33.3,97.3,13.77,61727,4.4
Tulsa city,Oklahoma,2022,35.8,95.4,13.49,54040,4.8
Portland city,Oregon,2022,38.5,99.4,14.57,81119,4.5
Philadelphia city,Pennsylvania,2022,35.1,90.2,13.57,56517,7.0
Charleston city,South Carolina,2022,37.9,89.6,15.01,83103,3.7
Chattanooga city,Tennessee,2022,36.3,93.8,13.91,64340,2.7
Memphis city,Tennessee,2022,34.7,91.6,13.37,50622,6.1
Nashville-Davidson metropolitan government (balance),Tennessee,2022,35.0,93.8,14.26,71767,3.4
Austin city,Texas,2022,34.5,104.1,14.73,89415,3.0
Dallas city,Texas,2022,33.1,97.7,13.19,65400,4.0
Fort Worth city,Texas,2022,34.3,98.7,13.14,71527,4.0
Houston city,Texas,2022,34.6,98.0,12.95,60426,5.9
San Antonio city,Texas,2022,34.1,100.1,13.15,58829,5.0
Salt Lake City city,Utah,2022,31.9,102.9,14.3,75529,3.0
Richmond city,Virginia,2022,34.8,90.2,14.11,58988,6.6
Seattle city,Washington,2022,35.9,103.4,15.31,115409,3.3
Madison city,Wisconsin,2022,32.2,101.9,15.16,73647,2.2
Milwaukee city,Wisconsin,2022,32.6,94.4,13.09,49270,5.0
Phoenix city,Arizona,2023,34.9,99.4,13.3,79664,4.4
Tucson city,Arizona,2023,35.6,96.3,13.5,55708,5.1
Los Angeles city,California,2023,37.2,99.7,13.14,79701,6.7
Sacramento city,California,2023,36.2,98.8,13.58,85928,6.2
San Diego city,California,2023,36.0,100.8,14.36,105780,4.0
San Francisco city,California,2023,40.7,105.9,14.6,126730,4.9
Boulder city,Colorado,2023,28.6,110.4,15.75,75923,7.0
Denver city,Colorado,2023,35.4,102.8,14.67,94157,3.7
Washington city,District of Columbia,2023,34.9,90.0,15.27,108210,5.3
Jacksonville city,Florida,2023,36.9,94.2,13.62,68069,4.4
Miami city,Florida,2023,39.3,105.0,13.36,68635,4.6
Orlando city,Florida,2023,35.3,96.4,14.02,69414,5.2
Tampa city,Florida,2023,35.9,101.8,14.13,72851,3.8
Atlanta city,Georgia,2023,34.5,92.6,14.91,85880,5.7
Chicago city,Illinois,2023,36.4,94.1,13.91,74474,6.4
Indianapolis city (balance),Indiana,2023,34.3,93.9,13.61,66629,4.4
Des Moines city,Iowa,2023,34.4,99.7,13.12,60882,4.0
New Orleans city,Louisiana,2023,39.5,88.4,14.21,55580,5.3
Baltimore city,Maryland,2023,36.5,85.4,13.73,59579,5.1
Boston city,Massachusetts,2023,33.7,92.8,14.41,96931,4.2
Kansas City city,Missouri,2023,36.5,95.9,13.94,65225,3.4
St. Louis city,Missouri,2023,37.2,93.8,14.25,56245,4.7
Las Vegas city,Nevada,2023,39.2,97.4,13.18,73784,5.4
Albuquerque city,New Mexico,2023,39.2,96.0,13.9,67907,4.3
Albany city,New York,2023,32.4,89.3,14.37,61390,7.6
Buffalo city,New York,2023,35.7,93.0,13.32,46458,6.2
New York city,New York,2023,38.8,92.2,13.56,76577,6.3
Rochester city,New York,2023,34.2,96.1,13.23,48618,7.9
Charlotte city,North Carolina,2023,34.7,92.9,14.22,80581,3.5
Durham city,North Carolina,2023,35.0,91.3,14.81,80064,3.2
Raleigh city,North Carolina,2023,34.9,92.1,14.68,86309,3.0
Cincinnati city,Ohio,2023,34.1,93.8,14.24,54314,6.3
Cleveland city,Ohio,2023,36.3,92.4,12.82,39041,9.5
Columbus city,Ohio,2023,33.4,97.8,13.77,62350,4.4
Tulsa city,Oklahoma,2023,35.7,97.2,13.41,56821,6.0
Portland city,Oregon,2023,39.4,98.5,14.67,86057,3.8
Philadelphia city,Pennsylvania,2023,35.6,89.6,13.56,60302,6.2
Charleston city,South Carolina,2023,36.2,95.6,15.07,95126,2.6
Chattanooga city,Tennessee,2023,37.2,96.3,13.73,62547,5.4
Memphis city,Tennessee,2023,33.9,88.8,13.26,51399,7.5
Nashville-Davidson metropolitan government (balance),Tennessee,2023,34.7,93.6,14.34,80217,3.1
Austin city,Texas,2023,34.9,106.4,14.83,91501,4.0
Dallas city,Texas,2023,33.5,97.9,13.2,70121,4.4
Fort Worth city,Texas,2023,33.7,96.7,13.22,77082,4.3
Houston city,Texas,2023,34.5,97.4,13.18,62637,6.2
San Antonio city,Texas,2023,35.4,98.7,13.11,62322,5.0
Salt Lake City city,Utah,2023,33.2,107.9,14.39,72951,4.2
Richmond city,Virginia,2023,34.9,86.8,14.15,65650,3.8
Seattle city,Washington,2023,35.6,107.6,15.47,120608,4.2
Madison city,Wisconsin,2023,32.5,100.5,14.96,70484,2.6
Milwaukee city,Wisconsin,2023,32.6,91.7,13.04,52992,5.1
Phoenix city,Arizona,2024,35.4,101.8,13.42,85246,4.1
