city,year,negative_submissions,negative_comments,negative_total,total_submissions,total_comments,total_observations,negative_rate,negative_submission_rate,negative_comment_rate,city_full,state,median_age,sex_ratio,average_years_schooling,income,unemployment rate
Atlanta,2009,1,3,4,183,568,751,0.005326231691078562,0.00546448087431694,0.00528169014084507,Atlanta city,,,,,,
Atlanta,2010,19,160,179,1105,12196,13301,0.013457634764303436,0.017194570135746608,0.013119055428009183,Atlanta city,,,,,,
Atlanta,2011,85,849,934,4743,62209,66952,0.013950292747042658,0.017921146953405017,0.013647542960021861,Atlanta city,,,,,,
Atlanta,2012,147,1497,1644,7486,104555,112041,0.014673199989289634,0.0196366550895004,0.014317823155277127,Atlanta city,,,,,,
Atlanta,2013,151,1717,1868,9690,120017,129707,0.014401689962762226,0.015583075335397318,0.01430630660656407,Atlanta city,,,,,,
Atlanta,2014,197,2712,2909,13446,180515,193961,0.014997860394615412,0.014651197382121077,0.015023682242472925,Atlanta city,,,,,,
Atlanta,2015,230,4662,4892,17062,291600,308662,0.015849051713524825,0.01348024850545071,0.015987654320987654,Atlanta city,,,,,,
Atlanta,2016,206,5162,5368,16629,305639,322268,0.016656943910037608,0.012387996872932829,0.016889205893226976,Atlanta city,,,,,,
Atlanta,2017,231,5888,6119,20297,372731,393028,0.015568865322572437,0.011380992264866729,0.015796915201579692,Atlanta city,,,,,,
Atlanta,2018,245,5697,5942,19906,373565,393471,0.015101494138068624,0.012307846880337587,0.015250358036753979,Atlanta city,Georgia,33.2,97.1,14.87,65345.0,5.7
Atlanta,2019,204,5075,5279,19955,335015,354970,0.014871679296841987,0.01022300175394638,0.015148575436920735,Atlanta city,Georgia,33.3,91.6,14.87,66657.0,5.0
Atlanta,2020,149,6351,6500,20333,361220,381553,0.01703564118222108,0.0073279889834259575,0.0175820829411439,Atlanta city,,,,,,
Atlanta,2021,106,3219,3325,18214,205774,223988,0.014844545243495186,0.0058196991325354126,0.015643375742319242,Atlanta city,Georgia,34.3,96.5,14.87,74107.0,5.2
Atlanta,2022,95,2731,2826,17468,177615,195083,0.014486141796056038,0.005438516143805816,0.015375953607521886,Atlanta city,Georgia,34.0,98.9,14.95,83251.0,4.8
Atlanta,2023,82,1922,2004,16282,138160,154442,0.01297574493984797,0.005036236334602629,0.013911407064273306,Atlanta city,Georgia,34.5,92.6,14.91,85880.0,5.7
Atlanta,2024,78,1518,1596,17783,114365,132148,0.012077367799739686,0.004386211550357083,0.013273291653915097,Atlanta city,Georgia,34.5,93.3,15.05,88165.0,5.1
Austin,2008,0,5,5,39,65,104,0.04807692307692308,0.0,0.07692307692307693,Austin city,,,,,,
