"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1600000US0103076","Auburn city, Alabama","46436","11681",
"1600000US0107000","Birmingham city, Alabama","36395","2885",
"1600000US0121184","Dothan city, Alabama","49160","3142",
"1600000US0135896","Hoover city, Alabama","87355","6686",
"1600000US0137000","Huntsville city, Alabama","55405","3845",
"1600000US0150000","Mobile city, Alabama","38643","3005",
"1600000US0151000","Montgomery city, Alabama","49070","2519",
"1600000US0177256","Tuscaloosa city, Alabama","43468","6476",
"1600000US0203000","Anchorage municipality, Alaska","83648","5039",
"1600000US0404720","Avondale city, Arizona","63242","7876",
"1600000US0407940","Buckeye city, Arizona","68655","8524",
"1600000US0410670","Casas Adobes CDP, Arizona","62927","5164",
"1600000US0412000","Chandler city, Arizona","85527","3586",
"1600000US0423620","Flagstaff city, Arizona","58808","4719",
"1600000US0427400","Gilbert town, Arizona","99866","3683",
"1600000US0427820","Glendale city, Arizona","54789","2471",
"1600000US0428380","Goodyear city, Arizona","89959","10959",
"1600000US0446000","Mesa city, Arizona","58247","2148",
"1600000US0454050","Peoria city, Arizona","72050","6079",
"1600000US0455000","Phoenix city, Arizona","57957","1430",
"1600000US0464210","San Tan Valley CDP, Arizona","70339","4892",
"1600000US0465000","Scottsdale city, Arizona","88071","4518",
"1600000US0471510","Surprise city, Arizona","70280","5360",
"1600000US0473000","Tempe city, Arizona","60330","2176",
"1600000US0477000","Tucson city, Arizona","43676","1859",
"1600000US0485540","Yuma city, Arizona","47929","7930",
"1600000US0515190","Conway city, Arkansas","44569","7598",
"1600000US0523290","Fayetteville city, Arkansas","41890","5554",
"1600000US0524550","Fort Smith city, Arkansas","45496","4088",
"1600000US0535710","Jonesboro city, Arkansas","45057","4469",
"1600000US0541000","Little Rock city, Arkansas","47996","3487",
"1600000US0550450","North Little Rock city, Arkansas","46850","6276",
"1600000US0560410","Rogers city, Arkansas","62938","6146",
"1600000US0566080","Springdale city, Arkansas","50799","4141",
"1600000US0600562","Alameda city, California","114750","13070",
"1600000US0600884","Alhambra city, California","57432","6569",
"1600000US0602000","Anaheim city, California","76154","5939",
"1600000US0602252","Antioch city, California","71466","13120",
"1600000US0602364","Apple Valley town, California","56659","9545",
"1600000US0602553","Arden-Arcade CDP, California","49787","4665",
"1600000US0603526","Bakersfield city, California","60002","4223",
"1600000US0603666","Baldwin Park city, California","64254","6734",
"1600000US0604982","Bellflower city, California","61955","5128",
"1600000US0606000","Berkeley city, California","81362","9774",
"1600000US0608786","Buena Park city, California","83953","7428",
"1600000US0608954","Burbank city, California","73813","7242",
"1600000US0610046","Camarillo city, California","88991","6405",
"1600000US0611194","Carlsbad city, California","103866","7471",
"1600000US0611390","Carmichael CDP, California","61334","7321",
"1600000US0611530","Carson city, California","85776","6625",
"1600000US0611964","Castro Valley CDP, California","116325","10850",
"1600000US0613014","Chico city, California","51419","5441",
"1600000US0613210","Chino city, California","82175","9289",
"1600000US0613214","Chino Hills city, California","103552","10705",
"1600000US0613392","Chula Vista city, California","86082","5738",
"1600000US0613588","Citrus Heights city, California","65910","6487",
"1600000US0614218","Clovis city, California","74432","9147",
"1600000US0615044","Compton city, California","50856","2902",
"1600000US0616000","Concord city, California","91185","5311",
"1600000US0616350","Corona city, California","91304","6889",
"1600000US0616532","Costa Mesa city, California","80502","4666",
"1600000US0617918","Daly City city, California","85370","11047",
"1600000US0618100","Davis city, California","66739","9442",
"1600000US0619766","Downey city, California","74327","3638",
